,accuracy,f1metric,precision,recalll
66,0.7503885607709045,0.6812227074235808,0.6842105263157895,0.6782608695652174
67,0.7479017718371154,0.6669404517453799,0.694017094017094,0.641897233201581
68,0.7584706248057196,0.6744868035190615,0.7174688057040999,0.6363636363636364
69,0.7444824370531551,0.6730310262529834,0.677341873498799,0.6687747035573123
70,0.7622008082064035,0.679782335705316,0.7224199288256228,0.641897233201581
71,0.755362138638483,0.6804709703613478,0.6994991652754591,0.6624505928853754
72,0.758159776188996,0.6683716965046888,0.7252543940795559,0.6197628458498023
73,0.7538078955548648,0.6847133757961783,0.6896551724137931,0.6798418972332015
74,0.7587814734224433,0.6842961757526445,0.7049455155071249,0.6648221343873518
75,0.747280074603668,0.6869464767038891,0.6696696696696697,0.7051383399209487
76,0.747280074603668,0.6717803794913201,0.6864686468646864,0.6577075098814229
77,0.7538078955548648,0.6705490848585691,0.707638279192274,0.6371541501976284
78,0.7410631022691949,0.6706207987346777,0.6708860759493671,0.6703557312252965
79,0.7522536524712465,0.6750917244190787,0.696969696969697,0.6545454545454545
80,0.7510102580043518,0.6874756145142411,0.6787365177195686,0.6964426877470355
81,0.7547404414050357,0.6865315852205005,0.6900958466453674,0.68300395256917
82,0.7628225054398508,0.6922146026623638,0.7067545304777595,0.6782608695652174
83,0.7569163817221013,0.6891891891891891,0.6930455635491607,0.6853754940711463
84,0.758159776188996,0.6850202429149799,0.7020746887966804,0.6687747035573123
85,0.7587814734224433,0.6782752902155887,0.7131647776809067,0.6466403162055336
86,0.7603357165060616,0.6914765906362546,0.700162074554295,0.68300395256917
87,0.7640658999067454,0.6984505363528009,0.702076677316294,0.6948616600790514
88,0.7522536524712465,0.6831013916500995,0.6872,0.6790513833992095
89,0.74914516630401,0.6718178121187474,0.6917922948073701,0.6529644268774704
90,0.7510102580043518,0.6869871043376319,0.6792890262751159,0.6948616600790514
91,0.7566055331053777,0.6864237084501401,0.6956168831168831,0.6774703557312253
92,0.7668635374572583,0.6943765281173594,0.7165685449957948,0.6735177865612648
93,0.7485234690705627,0.6783300198807157,0.6824,0.6743083003952569
94,0.7516319552377992,0.6870348609479044,0.6809006211180124,0.6932806324110672
95,0.7590923220391669,0.6871215179652806,0.7021452145214522,0.6727272727272727
96,0.755362138638483,0.6767967145790555,0.7042735042735043,0.6513833992094862
97,0.7615791109729562,0.6952721493841875,0.6988817891373802,0.691699604743083
98,0.74914516630401,0.6831566548881037,0.6786271450858035,0.6877470355731226
99,0.7556729872552067,0.6900630914826499,0.6884343036978757,0.691699604743083
100,0.7534970469381411,0.685442284807616,0.6878980891719745,0.68300395256917
101,0.7519428038545228,0.6890101325019485,0.6794773251345119,0.6988142292490118
102,0.7423064967360895,0.6773063448812767,0.6671779141104295,0.6877470355731226
103,0.7603357165060616,0.6884848484848485,0.7041322314049587,0.6735177865612648
104,0.7457258315200498,0.6797180892717306,0.6733902249806051,0.6861660079051384
105,0.7534970469381411,0.6960521272518206,0.6755952380952381,0.7177865612648221
106,0.7407522536524712,0.6729411764705882,0.667704280155642,0.6782608695652174
107,0.7516319552377992,0.687279843444227,0.6806201550387597,0.6940711462450593
108,0.7447932856698788,0.6826439891766525,0.6679273827534039,0.6980237154150197
109,0.7494560149207335,0.6916602907421576,0.670126019273536,0.7146245059288537
110,0.7534970469381411,0.678034916768169,0.6969949916527546,0.6600790513833992
111,0.7528753497046938,0.6905410665628648,0.6802147239263804,0.7011857707509881
112,0.755362138638483,0.6773267732677327,0.7035775127768313,0.6529644268774704
113,0.7488343176872863,0.6798732171156894,0.6814932486100079,0.6782608695652174
114,0.7575380789555487,0.6912114014251781,0.6923076923076923,0.6901185770750988
115,0.7612682623562325,0.6920609462710505,0.7021969080553295,0.6822134387351778
116,0.7550512900217594,0.6858054226475279,0.6918744971842317,0.6798418972332015
117,0.7463475287534971,0.6782334384858044,0.6766325727773407,0.6798418972332015
118,0.7488343176872863,0.6826394344069127,0.6783762685402029,0.6869565217391305
119,0.7457258315200498,0.6797180892717306,0.6733902249806051,0.6861660079051384
120,0.74914516630401,0.6856252434748734,0.6758832565284179,0.6956521739130435
121,0.7432390425862605,0.6750590086546028,0.6718872357086922,0.6782608695652174
122,0.7525645010879701,0.6828685258964143,0.6883534136546184,0.6774703557312253
123,0.7438607398197078,0.6771159874608151,0.6713286713286714,0.68300395256917
124,0.7410631022691949,0.6762534006995726,0.6651376146788991,0.6877470355731226
125,0.7426173453528132,0.6655896607431341,0.6804293971924029,0.6513833992094862
126,0.7432390425862605,0.6775956284153006,0.669236700077101,0.6861660079051384
127,0.7345352813179982,0.6653605015673982,0.6596736596736597,0.6711462450592885
128,0.7566055331053777,0.6838918046023416,0.6988448844884488,0.6695652173913044
129,0.755362138638483,0.6781186094069529,0.7025423728813559,0.6553359683794466
130,0.7534970469381411,0.6903553299492385,0.6820987654320988,0.6988142292490118
131,0.748212620453839,0.6717990275526742,0.6891105569409809,0.6553359683794466
132,0.7488343176872863,0.6848673946957878,0.6759045419553503,0.6940711462450593
133,0.7438607398197078,0.6838066001534919,0.6644295302013423,0.7043478260869566
134,0.7600248678893379,0.6799336650082919,0.7149084568439407,0.6482213438735178
135,0.7519428038545228,0.6644238856181665,0.7097933513027853,0.6245059288537549
136,0.7587814734224433,0.7001545595054095,0.6848072562358276,0.7162055335968379
137,0.7432390425862605,0.6775956284153006,0.669236700077101,0.6861660079051384
138,0.7429281939695368,0.6688025630756907,0.6777597402597403,0.6600790513833992
139,0.7494560149207335,0.6621961441743504,0.7047279214986619,0.6245059288537549
140,0.755362138638483,0.6967244701348747,0.6796992481203008,0.7146245059288537
141,0.7475909232203917,0.6905487804878049,0.6666666666666666,0.7162055335968379
142,0.7541187441715884,0.6565349544072947,0.7283236994219653,0.5976284584980237
